n,N,k,K,Class
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 0, 1, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 0, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 0, 1, 1, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 0, 1)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 0, 1, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 0)","(1, 1, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 0)","(1, 1, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 0)","(1, 1, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 0)","(1, 1, 1, 1, 0, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(0, 1)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 0)","(0, 1, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",iii-ii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)",iii-iii.3
"(0, 0)","(1, 1, 1, 1, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",iii-iii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 0, 1, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 0, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 1, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(0, 1)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 0)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 0, 1, 0, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 0, 1)","(1, 1)","(1, 0, 1, 0, 0, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(0, 1)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 0)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 0, 1, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(0, 1)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 0)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",ii-iii.2
"(0, 1)","(0, 0, 0, 1, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0)","(0, 1, 0, 1, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0)","(0, 1, 1, 0, 1, 1)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0)","(0, 1, 1, 1, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 0)","(0, 1, 1, 1, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(0, 1)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(0, 0, 0, 0, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(0, 0, 0, 1, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(0, 0, 1, 0, 0, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(1, 1, 0, 1, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(1, 1, 1, 0, 1, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(1, 1, 1, 1, 0, 1)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 0)","(1, 1, 1, 1, 1, 0)",ii-ii.3
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1)","(1, 0, 0, 0, 0, 1)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1)","(1, 0, 0, 0, 1, 0)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1)","(1, 0, 0, 1, 0, 0)",ii-iii.2
"(0, 1)","(0, 0, 1, 0, 0, 0)","(1, 1)","(1, 0, 1, 0, 0, 0)",ii-iii.2
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 0, 0, 0, 0)",ii-i
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(0, 0, 1, 1, 1, 1)",ii-iii.1
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(1, 1, 0, 0, 1, 1)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 0, 1)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(1, 1, 0, 1, 1, 0)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(1, 1, 1, 0, 0, 1)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(1, 1, 1, 0, 1, 0)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 0)","(1, 1, 1, 1, 0, 0)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1)","(0, 1, 0, 0, 0, 0)",ii-ii.1
"(0, 1)","(0, 1, 0, 0, 0, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)",ii-ii.2
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)",ii-ii.2
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 0)","(1, 0, 1, 1, 1, 1)",ii-ii.1
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 0, 0, 1, 1)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 0, 1, 0, 1)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 0, 1, 1, 0)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 1, 0, 0, 1)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 1, 0, 1, 0)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(0, 0, 1, 1, 0, 0)",ii-iii.3
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(1, 1, 0, 0, 0, 0)",ii-iii.1
"(0, 1)","(0, 1, 0, 0, 0, 0)","(1, 1)","(1, 1, 1, 1, 1, 1)",ii-i
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0)","(0, 0, 0, 0, 0, 0)",ii-i
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0)","(0, 0, 1, 1, 1, 1)",ii-iii.1
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0)","(1, 1, 0, 0, 1, 1)",ii-iii.3
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 0, 1)",ii-iii.3
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0)","(1, 1, 0, 1, 1, 0)",ii-iii.3
"(0, 1)","(0, 1, 1, 1, 1, 1)","(0, 0)","(1, 1, 1, 0, 0, 1)",ii-iii.3
