n1,n2,m3,m4,m5,m6,N1,N2,N3,N4,N5,N6,Class
1,1,1,0,1,1,0,1,0,1,0,0,iii-B.3
1,1,1,1,0,1,0,1,0,1,0,0,iii-B.3
1,1,1,1,1,0,0,1,0,1,0,0,iii-B.3
1,1,0,0,0,1,0,1,1,0,0,0,iii-B.3
1,1,0,0,1,0,0,1,1,0,0,0,iii-B.3
1,1,0,1,1,1,0,1,1,0,0,0,iii-B.3
1,1,1,0,0,0,0,1,1,0,0,0,iii-B.3
1,1,1,1,0,1,0,1,1,0,0,0,iii-B.3
1,1,1,1,1,0,0,1,1,0,0,0,iii-B.3
1,1,0,0,0,0,1,0,0,0,0,1,iii-A.3
1,1,0,1,0,1,1,0,0,0,0,1,iii-E.5
1,1,0,1,1,0,1,0,0,0,0,1,iii-E.5
1,1,1,0,0,1,1,0,0,0,0,1,iii-E.5
1,1,1,0,1,0,1,0,0,0,0,1,iii-E.5
1,1,1,1,1,1,1,0,0,0,0,1,iii-A.3
1,1,0,0,0,0,1,0,0,0,1,0,iii-A.3
1,1,0,1,0,1,1,0,0,0,1,0,iii-E.5
1,1,0,1,1,0,1,0,0,0,1,0,iii-E.5
1,1,1,0,0,1,1,0,0,0,1,0,iii-E.5
1,1,1,0,1,0,1,0,0,0,1,0,iii-E.5
1,1,1,1,1,1,1,0,0,0,1,0,iii-A.3
1,1,0,0,0,1,1,0,0,1,0,0,iii-B.3
1,1,0,0,1,0,1,0,0,1,0,0,iii-B.3
1,1,0,1,0,0,1,0,0,1,0,0,iii-B.3
1,1,1,0,1,1,1,0,0,1,0,0,iii-B.3
1,1,1,1,0,1,1,0,0,1,0,0,iii-B.3
1,1,1,1,1,0,1,0,0,1,0,0,iii-B.3
1,1,0,0,0,1,1,0,1,0,0,0,iii-B.3
1,1,0,0,1,0,1,0,1,0,0,0,iii-B.3
1,1,0,1,1,1,1,0,1,0,0,0,iii-B.3
1,1,1,0,0,0,1,0,1,0,0,0,iii-B.3
1,1,1,1,0,1,1,0,1,0,0,0,iii-B.3
1,1,1,1,1,0,1,0,1,0,0,0,iii-B.3
1,1,0,0,0,0,1,1,0,0,0,0,iii-A.3
1,1,0,1,0,1,1,1,0,0,0,0,iii-E.5
1,1,0,1,1,0,1,1,0,0,0,0,iii-E.5
1,1,1,0,0,1,1,1,0,0,0,0,iii-E.5
1,1,1,0,1,0,1,1,0,0,0,0,iii-E.5
1,1,1,1,1,1,1,1,0,0,0,0,iii-A.3
1,1,0,0,1,1,1,1,1,1,1,1,i-A
1,1,0,1,0,1,1,1,1,1,1,1,i-E
1,1,0,1,1,0,1,1,1,1,1,1,i-E
1,1,1,0,0,1,1,1,1,1,1,1,i-E
1,1,1,0,1,0,1,1,1,1,1,1,i-E
1,1,1,1,0,0,1,1,1,1,1,1,i-A
