LR,"(w1,wb2)",-> w1wb2
LR,"(y4,yb2)",-> y4yb2

[1 1 0 0 1 0 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| + + ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 0 1],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 0 1],| - - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 0 1],| - - ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 0 1],| - - ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 1 0 1 0 1],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| + + ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| + + ->_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - +>_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - +>_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 0 1 0 1],| - - ->_L x | + +> x | + + ->_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 0, 1, 1, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 0 1 1 1],| + - +>_L x | + +> x | - - ->_R,"(8, 8)",V_T,1
[1 0 0 0 1 1 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",V_T,1
[1 0 0 0 1 1 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 0 0 1 1 1],| - + ->_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 0 1 1 1],| + - +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 0 1 1 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 0 1 0 1 1 1],| - + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 0 1 1 1],| + + +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 1 1],| + + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 0 1 1 1],| - - +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 0 1 1 1],| - - ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 1 0 1 1 1],| + + +>_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 0 1 1 1],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 0 1 1 1],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 0 1 1 1],| - - ->_L x | + +> x | - - +>_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 0, 1, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 0 1 1],| + - +>_L x | + +> x | + + +>_R,"(8, 8)",H_T,0
[1 0 0 1 0 1 1],| + - ->_L x | + +> x | + + +>_R,"(8, 8)",H_T,0
[1 0 0 1 0 1 1],| - + +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 0 0 1 0 1 1],| - + ->_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 0 1 1 0 1 1],| + - +>_L x | + +> x | - - +>_R,"(8, 8)",,1/2
[1 0 1 1 0 1 1],| + - ->_L x | + +> x | - - +>_R,"(8, 8)",,1/2
[1 0 1 1 0 1 1],| - + +>_L x | + +> x | + + ->_R,"(8, 8)",,
[1 0 1 1 0 1 1],| - + ->_L x | + +> x | + + ->_R,"(8, 8)",,
[1 1 0 1 0 1 1],| + + +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 1 0 1 1],| + + ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 0 1 0 1 1],| - - +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 1 0 1 1],| - - ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 1 1 0 1 1],| + + +>_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 1 0 1 1],| + + ->_L x | + +> x | - - +>_R,"(8, 8)",,0
[1 1 1 1 0 1 1],| - - +>_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 1 0 1 1],| - - ->_L x | + +> x | + + ->_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 1, 0, 1]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 1 0 1],| + - ->_L x | + +> x | - - +>_R,"(8, 8)",V_T,1
[1 0 0 1 1 0 1],| + - ->_L x | + +> x | - - ->_R,"(8, 8)",V_T,1
[1 0 0 1 1 0 1],| - + +>_L x | + +> x | + + ->_R,"(8, 8)",,
[1 0 0 1 1 0 1],| - + +>_L x | + +> x | + + +>_R,"(8, 8)",,
[1 0 1 1 1 0 1],| + - ->_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 0 1 1 1 0 1],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 0 1 1 1 0 1],| - + +>_L x | + +> x | - - ->_R,"(8, 8)",,
[1 0 1 1 1 0 1],| - + +>_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 1 1 0 1],| + + ->_L x | + +> x | - - +>_R,"(8, 8)",,
[1 1 0 1 1 0 1],| + + ->_L x | + +> x | - - ->_R,"(8, 8)",,
[1 1 0 1 1 0 1],| - - +>_L x | + +> x | + + ->_R,"(8, 8)",,1/2
[1 1 0 1 1 0 1],| - - +>_L x | + +> x | + + +>_R,"(8, 8)",,1/2
[1 1 1 1 1 0 1],| + + ->_L x | + +> x | + + +>_R,"(8, 8)",,0
[1 1 1 1 1 0 1],| + + ->_L x | + +> x | + + ->_R,"(8, 8)",,0
[1 1 1 1 1 0 1],| - - +>_L x | + +> x | - - ->_R,"(8, 8)",,0
[1 1 1 1 1 0 1],| - - +>_L x | + +> x | - - +>_R,"(8, 8)",,0
"Supersector for base: [1, *, *, 1, 1, 1, 0]",,,,
Sector,State,"(α_L,α_R)",Comments,Spin
[1 0 0 1 1 1 0],| + - ->_L x | + +> x | + + +>_R,"(8, 8)",H_T,0
[1 0 0 1 1 1 0],| + - ->_L x | + +> x | + + ->_R,"(8, 8)",H_T,0
