n1,n2,N1,N2,N3,N4,N5,N6,K1,K2,K3,K4,K5,K6,k1,k2,m3,m4,m5,m6,Class
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,class_07
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,class_07
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,class_08
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,class_09
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,class_09
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,class_09
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,class_09
0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,class_08
0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,class_10
0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,class_10
0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,class_10
0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,class_11
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,class_11
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,class_10
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,class_10
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,class_10
0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,class_11
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,class_11
0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,class_10
0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,class_10
0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,class_10
0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,class_11
0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,class_10
0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,class_11
0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,class_10
0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,class_10
0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,class_10
0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,class_11
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,class_10
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,class_11
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,class_09
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,class_09
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,class_09
0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,class_09
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,class_12
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,class_07
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,class_07
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,class_07
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,class_07
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,class_12
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,class_13
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,class_13
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,class_14
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,class_14
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,class_13
0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,class_13
0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,class_13
0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,class_13
0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,class_13
0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,class_13
0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,class_13
0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,class_13
0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,class_14
0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,class_14
0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,class_13
0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,class_13
0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,class_13
0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,class_13
0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,class_13
0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,class_13
0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,class_15
0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,class_15
0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,class_15
0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,class_15
0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,class_15
0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,class_15
0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,class_15
0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,class_15
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,class_15
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,class_15
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,class_16
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,class_16
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,class_15
0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,class_15
0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,class_15
0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,class_15
0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,class_15
0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,class_15
0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,class_13
0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,class_13
0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,class_13
0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,class_13
0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,class_13
0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,class_13
0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,class_13
0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,class_13
0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,class_13
0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,class_13
0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,class_13
0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,class_13
0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,class_13
0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,class_13
0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,class_13
0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,class_13
0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,class_13
0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,class_13
0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,class_13
0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,class_13
0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,class_13
0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,class_13
0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,class_14
0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,class_14
0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,class_13
0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,class_13
0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,class_13
